일시,평균기온
2023-01-01,-0.2
2023-01-02,-4.5
2023-01-03,-5
2023-01-04,-1.8
2023-01-05,-1.6
2023-01-06,0.6
2023-01-07,1.5
2023-01-08,1.3
2023-01-09,3.1
2023-01-10,1.6
2023-01-11,2.6
2023-01-12,5.9
2023-01-13,8.3
2023-01-14,6.6
2023-01-15,-0.2
2023-01-16,-4.6
2023-01-17,-3.7
2023-01-18,-1.9
2023-01-19,-0.4
2023-01-20,-3.3
2023-01-21,-4.5
2023-01-22,-0.6
2023-01-23,-0.8
2023-01-24,-14.7
2023-01-25,-11.3
2023-01-26,-6
2023-01-27,-7.3
2023-01-28,-6
2023-01-29,-1.8
2023-01-30,-0.9
2023-01-31,2.4
2023-02-01,0.9
2023-02-02,-2.4
2023-02-03,-1.6
2023-02-04,-0.2
2023-02-05,1.7
2023-02-06,3
2023-02-07,3.5
2023-02-08,2.1
2023-02-09,4
2023-02-10,3.8
2023-02-11,2.8
2023-02-12,3.7
2023-02-13,5.9
2023-02-14,1.7
2023-02-15,3.2
2023-02-16,2.3
2023-02-17,3.4
2023-02-18,5.7
2023-02-19,3.5
2023-02-20,-0.5
2023-02-21,-1.3
2023-02-22,1.2
2023-02-23,2.9
2023-02-24,3.5
2023-02-25,0.7
2023-02-26,2.2
2023-02-27,4.4
2023-02-28,4.3
2023-03-01,6
2023-03-02,2.2
2023-03-03,4.6
2023-03-04,7.7
2023-03-05,8
2023-03-06,9.2
2023-03-07,11.7
2023-03-08,12.5
2023-03-09,10.3
2023-03-10,13.5
2023-03-11,15.2
2023-03-12,5.9
2023-03-13,2.9
2023-03-14,9.2
2023-03-15,8.6
2023-03-16,4.6
2023-03-17,7.2
2023-03-18,7.7
2023-03-19,8.3
2023-03-20,9.5
2023-03-21,13
2023-03-22,17
2023-03-23,17.4
2023-03-24,12.5
2023-03-25,12.5
2023-03-26,9.4
2023-03-27,7.3
2023-03-28,9.2
2023-03-29,11.8
2023-03-30,13.3
2023-03-31,15
2023-04-01,17.5
2023-04-02,18.8
2023-04-03,19
2023-04-04,17.6
2023-04-05,11.9
2023-04-06,8.8
2023-04-07,8.9
2023-04-08,8.8
2023-04-09,10.8
2023-04-10,13.2
2023-04-11,13.1
2023-04-12,10.1
2023-04-13,11.9
2023-04-14,16.2
2023-04-15,13.5
2023-04-16,10.8
2023-04-17,13.1
2023-04-18,14
2023-04-19,19.1
2023-04-20,15.8
2023-04-21,16.7
2023-04-22,16.9
2023-04-23,16.1
2023-04-24,15.8
2023-04-25,10.9
2023-04-26,10.2
2023-04-27,12.9
2023-04-28,15.7
2023-04-29,13.2
2023-04-30,12.7
2023-05-01,14.6
2023-05-02,16.7
2023-05-03,19.5
2023-05-04,21.4
2023-05-05,18.4
2023-05-06,12.6
2023-05-07,14.4
2023-05-08,15.3
2023-05-09,17
2023-05-10,18.4
2023-05-11,19.5
2023-05-12,18.4
2023-05-13,17.8
2023-05-14,18.1
2023-05-15,20.6
2023-05-16,24
2023-05-17,23.5
2023-05-18,21.2
2023-05-19,22.3
2023-05-20,21.2
2023-05-21,17.8
2023-05-22,20.3
2023-05-23,20.5
2023-05-24,20.6
2023-05-25,21.2
2023-05-26,21.4
2023-05-27,19.3
2023-05-28,19.2
2023-05-29,23.2
2023-05-30,24
2023-05-31,22.8
2023-06-01,22.8
2023-06-02,20.4
2023-06-03,22
2023-06-04,22.1
2023-06-05,21.5
2023-06-06,20.3
2023-06-07,21.4
2023-06-08,20.4
2023-06-09,23.3
2023-06-10,23.2
2023-06-11,22.1
2023-06-12,22.2
2023-06-13,22
2023-06-14,20.6
2023-06-15,22.7
2023-06-16,23.7
2023-06-17,24.2
2023-06-18,25.9
2023-06-19,28.5
2023-06-20,24.7
2023-06-21,20.5
2023-06-22,22.5
2023-06-23,24.4
2023-06-24,26.4
2023-06-25,28.2
2023-06-26,24.2
2023-06-27,25.3
2023-06-28,26.5
2023-06-29,24.2
2023-06-30,25.3
2023-07-01,27.7
2023-07-02,26.7
2023-07-03,29.1
2023-07-04,26.1
2023-07-05,24.5
2023-07-06,27.3
2023-07-07,26.7
2023-07-08,25.6
2023-07-09,24.7
2023-07-10,26.3
2023-07-11,23.5
2023-07-12,25.8
2023-07-13,25.2
2023-07-14,24.6
2023-07-15,24.5
2023-07-16,24.6
2023-07-17,25.5
2023-07-18,25.2
2023-07-19,27.2
2023-07-20,27.9
2023-07-21,29.5
2023-07-22,27.7
2023-07-23,25.2
2023-07-24,26.9
2023-07-25,27.8
2023-07-26,27.6
2023-07-27,28.4
2023-07-28,29.5
2023-07-29,29.1
2023-07-30,28.8
2023-07-31,28.7
2023-08-01,29.9
2023-08-02,29.7
2023-08-03,29.5
2023-08-04,30
2023-08-05,30.3
2023-08-06,29.8
2023-08-07,30.4
2023-08-08,30.9
2023-08-09,28.3
2023-08-10,22.2
2023-08-11,23.5
2023-08-12,23.3
2023-08-13,27
2023-08-14,28.1
2023-08-15,28.6
2023-08-16,27.3
2023-08-17,28.2
2023-08-18,29.1
2023-08-19,29.1
2023-08-20,28.3
2023-08-21,29.5
2023-08-22,27.6
2023-08-23,24.8
2023-08-24,25.1
2023-08-25,26.5
2023-08-26,26.4
2023-08-27,26.1
2023-08-28,22.7
2023-08-29,23.9
2023-08-30,22.8
2023-08-31,23.9
2023-09-01,24.5
2023-09-02,25.4
2023-09-03,25.8
2023-09-04,27
2023-09-05,28.5
2023-09-06,27.9
2023-09-07,26.3
2023-09-08,25.3
2023-09-09,25.8
2023-09-10,25.7
2023-09-11,25.5
2023-09-12,25.7
2023-09-13,22.1
2023-09-14,23.4
2023-09-15,22.3
2023-09-16,23.9
2023-09-17,24.7
2023-09-18,24.7
2023-09-19,24.1
2023-09-20,20.6
2023-09-21,20.1
2023-09-22,20.5
2023-09-23,21.8
2023-09-24,21.8
2023-09-25,21.6
2023-09-26,19.9
2023-09-27,21.5
2023-09-28,22.7
2023-09-29,21.1
2023-09-30,19.7
2023-10-01,18.4
2023-10-02,18.2
2023-10-03,17.5
2023-10-04,17.3
2023-10-05,14.2
2023-10-06,15.5
2023-10-07,16.8
2023-10-08,17.1
2023-10-09,17.4
2023-10-10,17.1
2023-10-11,17.6
2023-10-12,17.5
2023-10-13,17.5
2023-10-14,14.7
2023-10-15,16.1
2023-10-16,14.7
2023-10-17,13.8
2023-10-18,15.7
2023-10-19,17
2023-10-20,11.6
2023-10-21,10.4
2023-10-22,12.5
2023-10-23,15.2
2023-10-24,15.6
2023-10-25,16.6
2023-10-26,17.2
2023-10-27,15.7
2023-10-28,14.2
2023-10-29,14.9
2023-10-30,15.1
2023-10-31,16.5
2023-11-01,19
2023-11-02,20.8
2023-11-03,19.5
2023-11-04,17.4
2023-11-05,17.3
2023-11-06,13.3
2023-11-07,5.8
2023-11-08,8.4
2023-11-09,11.4
2023-11-10,3.4
2023-11-11,1.7
2023-11-12,1.2
2023-11-13,2
2023-11-14,5
2023-11-15,7
2023-11-16,6.6
2023-11-17,1.6
2023-11-18,0.6
2023-11-19,5.9
2023-11-20,6.2
2023-11-21,7.4
2023-11-22,9.5
2023-11-23,9.9
2023-11-24,-1.5
2023-11-25,-1.3
2023-11-26,4
2023-11-27,6.2
2023-11-28,1.3
2023-11-29,-1.4
2023-11-30,-4.3
2023-12-01,-3.2
2023-12-02,2
2023-12-03,0.8
2023-12-04,2.7
2023-12-05,6.8
2023-12-06,6.1
2023-12-07,6.6
2023-12-08,11.2
2023-12-09,13.7
2023-12-10,11.4
2023-12-11,8.9
2023-12-12,5.4
2023-12-13,6.8
2023-12-14,7.6
2023-12-15,4.9
2023-12-16,-4.1
2023-12-17,-9.8
2023-12-18,-7.7
2023-12-19,-3.7
2023-12-20,-7.4
2023-12-21,-11.7
2023-12-22,-11.6
2023-12-23,-6.8
2023-12-24,-2.2
